hidden_neurons|activation|method|max_epochs|learning_rate|hits|mse
30|purelin|rp|100|0.01|0.47912|0.104176
30|purelin|rp|100|0.001|0.47152|0.105696
30|tansig|rp|100|0.01|0.53408|0.093184
30|tansig|rp|100|0.001|0.52812|0.094376
50|purelin|rp|100|0.01|0.49496|0.101008
50|purelin|rp|100|0.001|0.47128|0.105744
50|tansig|rp|100|0.01|0.52668|0.094664
50|tansig|rp|100|0.001|0.52608|0.094784
